Customer,State,Customer Lifetime Value,Response,Coverage,Coverage Index,Education,Education Index,Effective To Date,Employment Status,Employment Status Index,Gender,Income,Location,Location Index,Marital Status,Marital Status Index,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy Type Index,Policy,Policy Index,Renew Offer Type,Sales Channel,Sales Channel Index,Total Claim Amount,Vehicle Class,Vehicle Class Index,Vehicle Size,Vehicle Size Index
AD28349,Arizona,8702.36,No,Basic,0,High School or Below,0,23-02-2024,Unemployed,0,M,0,Suburban,1,Divorced,2,127.88,24,109,0,3,Personal Auto,0,Personal L3,2,1,Call Center,3,660.78,Four-Door Car,1,Medsize,1
AD28535,California,6670.67,Yes,Extended,1,Master,3,01-10-2024,Employed,1,F,109882.28,Rural,0,Married,1,165.41,5,112,0,1,Personal Auto,0,Personal L1,0,1,Branch,1,104.17,Four-Door Car,1,Large,2
AD33653,Oregon,6238.51,No,Extended,1,High School or Below,0,01-08-2024,Unemployed,0,M,0,Suburban,1,Married,1,172.36,18,23,0,1,Personal Auto,0,Personal L2,1,1,Agent,2,828.66,Two-Door Car,0,Medsize,1
AD33971,California,23576.47,No,Basic,0,Doctor,4,14-01-2024,Unemployed,0,M,0,Suburban,1,Married,1,127.88,20,70,0,2,Personal Auto,0,Personal L3,2,2,Web,0,612.49,Four-Door Car,1,Medsize,1
AD38685,California,16248.36,Yes,Basic,0,College,1,02-07-2024,Employed,1,M,117213.14,Urban,2,Married,1,204.33,31,61,0,4,Personal Auto,0,Personal L3,2,2,Agent,2,750.95,Sports Car,2,Medsize,1
AD56037,Arizona,9683.21,No,Extended,1,High School or Below,0,20-01-2024,Employed,1,M,163350.02,Suburban,1,Married,1,241.86,1,101,0,1,Personal Auto,0,Personal L1,0,4,Agent,2,1161.93,SUV,4,Medsize,1
AD63766,Oregon,5327.41,No,Extended,1,Bachelor,2,21-01-2024,Unemployed,0,M,0,Suburban,1,Married,1,151.51,30,35,0,1,Personal Auto,0,Personal L2,1,3,Branch,1,729.58,Two-Door Car,0,Large,2
AD71478,Arizona,6436.99,No,Extended,1,High School or Below,0,02-10-2024,Employed,1,M,101967.62,Rural,0,Married,1,161.24,14,70,0,1,Personal Auto,0,Personal L3,2,4,Agent,2,19.67,Four-Door Car,1,Large,2
AD89594,California,24051.88,No,Basic,0,College,1,18-01-2024,Employed,1,M,53763.81,Urban,2,Single,0,125.1,5,34,0,2,Personal Auto,0,Personal L2,1,3,Agent,2,567.22,Four-Door Car,1,Medsize,1
AD95939,California,49749.03,No,Extended,1,Bachelor,2,17-01-2024,Employed,1,M,53993.16,Suburban,1,Single,0,429.51,19,97,0,2,Personal Auto,0,Personal L1,0,4,Web,0,2062.65,Luxury Car,3,Medsize,1
AE23906,Arizona,18420.71,Yes,Basic,0,College,1,28-01-2024,Employed,1,M,69911.44,Rural,0,Married,1,116.76,20,9,0,2,Personal Auto,0,Personal L2,1,1,Branch,1,242.01,Four-Door Car,1,Medsize,1
AE30506,California,4496.51,Yes,Basic,0,Bachelor,2,01-10-2024,Unemployed,0,F,0,Suburban,1,Married,1,123.71,8,96,2,1,Personal Auto,0,Personal L3,2,2,Call Center,3,812.83,Four-Door Car,1,Large,2
AE60813,Oregon,9369.41,No,Basic,0,College,1,17-02-2024,Employed,1,F,140907.08,Rural,0,Married,1,118.15,14,90,1,7,Personal Auto,0,Personal L3,2,4,Branch,1,190.17,Four-Door Car,1,Medsize,1
AE62631,Oregon,15814.63,No,Basic,0,Bachelor,2,28-02-2024,Employed,1,M,38772.66,Suburban,1,Married,1,134.83,14,134,0,2,Personal Auto,0,Personal L1,0,4,Agent,2,700.55,Two-Door Car,0,Medsize,1
AE74442,California,13847.56,No,Basic,0,Bachelor,2,21-01-2024,Employed,1,F,115561.82,Urban,2,Married,1,113.98,24,126,0,2,Corporate Auto,1,Corporate L2,4,1,Agent,2,385.24,Four-Door Car,1,Medsize,1
AE89300,Arizona,15433.78,No,Basic,0,Bachelor,2,02-03-2024,Employed,1,F,155062.84,Urban,2,Single,0,194.6,11,100,0,3,Personal Auto,0,Personal L3,2,3,Agent,2,608.17,SUV,4,Medsize,1
AE90216,California,9335.21,Yes,Basic,0,Bachelor,2,18-01-2024,Employed,1,M,141945.41,Suburban,1,Divorced,2,122.32,7,92,3,9,Personal Auto,0,Personal L2,1,2,Branch,1,877.83,Two-Door Car,0,Medsize,1
AE93522,Washington,13533.58,No,Basic,0,Bachelor,2,23-01-2024,Employed,1,M,142409.67,Rural,0,Single,0,113.98,1,7,0,2,Corporate Auto,1,Corporate L2,4,2,Branch,1,115.01,Two-Door Car,0,Medsize,1
AE98193,Washington,14748.19,No,Basic,0,High School or Below,0,01-01-2024,Unemployed,0,M,0,Suburban,1,Single,0,212.67,26,14,0,7,Personal Auto,0,Personal L1,0,1,Branch,1,1526.72,SUV,4,Medsize,1
AF10970,Arizona,11208.60,No,Basic,0,Bachelor,2,28-02-2024,Employed,1,F,180449.8,Suburban,1,Married,1,137.61,31,122,0,3,Corporate Auto,1,Corporate L3,5,1,Call Center,3,657.53,Four-Door Car,1,Medsize,1
AF17671,Washington,14571.45,No,Extended,1,Bachelor,2,27-01-2024,Employed,1,F,105716.45,Suburban,1,Married,1,182.09,35,34,0,3,Personal Auto,0,Personal L2,1,4,Web,0,873.70,Four-Door Car,1,Medsize,1
AF20716,Oregon,4558.73,No,Basic,0,Bachelor,2,17-01-2024,Employed,1,M,139312.75,Rural,0,Married,1,113.98,28,77,0,1,Personal Auto,0,Personal L3,2,2,Agent,2,260.06,Two-Door Car,0,Medsize,1
AF36894,California,8243.44,No,Basic,0,Bachelor,2,02-02-2024,Employed,1,M,63125.46,Suburban,1,Married,1,212.67,27,27,0,1,Corporate Auto,1,Corporate L3,5,4,Agent,2,1017.81,SUV,4,Medsize,1
AF37776,California,19551.57,No,Extended,1,Bachelor,2,16-01-2024,Employed,1,F,150480.01,Rural,0,Married,1,241.86,11,93,0,9,Personal Auto,0,Personal L1,0,3,Call Center,3,376.54,SUV,4,Large,2
AF41118,California,13615.34,No,Extended,1,College,1,01-05-2024,Medical Leave,2,M,20098.01,Suburban,1,Married,1,176.53,16,45,0,7,Personal Auto,0,Personal L2,1,1,Branch,1,846.68,Two-Door Car,0,Small,0
AF47139,Oregon,15774.58,No,Basic,0,College,1,02-03-2024,Employed,1,F,79826.31,Rural,0,Married,1,132.05,20,70,0,2,Personal Auto,0,Personal L1,0,1,Agent,2,81.72,Four-Door Car,1,Medsize,1
AF48816,Arizona,10869.94,No,Basic,0,Bachelor,2,27-01-2024,Employed,1,F,163972.74,Suburban,1,Married,1,134.83,35,88,0,5,Personal Auto,0,Personal L3,2,2,Web,0,648.52,Four-Door Car,1,Large,2
AF49027,Arizona,24070.67,No,Premium,2,College,1,26-02-2024,Unemployed,0,F,0,Suburban,1,Single,0,219.62,34,58,0,2,Personal Auto,0,Personal L3,2,1,Agent,2,1580.76,Two-Door Car,0,Medsize,1
AF49625,Oregon,13490.35,No,Extended,1,Bachelor,2,29-01-2024,Employed,1,F,142309.59,Urban,2,Single,0,169.58,8,86,0,6,Corporate Auto,1,Corporate L2,4,2,Agent,2,804.85,Two-Door Car,0,Small,0
AF69537,Arizona,13754.33,No,Premium,2,College,1,01-06-2024,Employed,1,M,111896.39,Suburban,1,Married,1,347.5,12,90,0,1,Personal Auto,0,Personal L3,2,1,Agent,2,1666.33,SUV,4,Medsize,1
AF81450,California,21451.65,No,Basic,0,High School or Below,0,26-01-2024,Disabled,4,M,53774.93,Suburban,1,Married,1,187.65,5,74,0,2,Personal Auto,0,Personal L3,2,1,Branch,1,1104.77,SUV,4,Small,0
AG22225,Oregon,13026.48,No,Extended,1,High School or Below,0,01-08-2024,Unemployed,0,M,0,Suburban,1,Married,1,180.7,28,24,0,3,Personal Auto,0,Personal L3,2,2,Call Center,3,864.69,Four-Door Car,1,Small,0
AG32304,Nevada,10168.24,No,Basic,0,College,1,01-03-2024,Employed,1,F,73433.7,Rural,0,Married,1,125.1,34,35,0,3,Personal Auto,0,Personal L3,2,1,Call Center,3,169.87,Four-Door Car,1,Medsize,1
AG39150,Oregon,4421.17,No,Basic,0,Bachelor,2,02-04-2024,Unemployed,0,M,0,Suburban,1,Married,1,118.15,30,127,0,1,Personal Auto,0,Personal L3,2,1,Agent,2,567.45,Four-Door Car,1,Medsize,1
AG45299,California,16129.88,No,Basic,0,College,1,20-01-2024,Employed,1,M,144045.7,Rural,0,Divorced,2,202.94,16,117,0,8,Personal Auto,0,Personal L3,2,2,Web,0,349.89,SUV,4,Small,0
AG47947,Washington,26316.70,Yes,Premium,2,High School or Below,0,19-02-2024,Employed,1,F,153632.53,Rural,0,Married,1,215.45,14,74,0,2,Personal Auto,0,Personal L3,2,2,Web,0,481.20,Four-Door Car,1,Medsize,1
AG56998,Oregon,4594.88,No,Basic,0,College,1,02-08-2024,Unemployed,0,M,0,Suburban,1,Married,1,129.27,9,92,0,1,Corporate Auto,1,Corporate L3,5,2,Branch,1,621.50,Two-Door Car,0,Medsize,1
AG58599,Oregon,5263.76,No,Basic,0,High School or Below,0,29-01-2024,Employed,1,F,48795.95,Suburban,1,Married,1,132.05,16,4,0,1,Personal Auto,0,Personal L3,2,3,Web,0,630.50,Four-Door Car,1,Medsize,1
AG62087,California,6403.67,No,Extended,1,Bachelor,2,29-01-2024,Employed,1,M,56923.28,Urban,2,Married,1,162.63,23,57,0,1,Corporate Auto,1,Corporate L3,5,3,Agent,2,611.99,Four-Door Car,1,Medsize,1
AG62140,California,10107.44,No,Basic,0,College,1,01-05-2024,Employed,1,F,63268.63,Suburban,1,Married,1,127.88,24,90,1,3,Personal Auto,0,Personal L2,1,1,Agent,2,655.70,Four-Door Car,1,Small,0
AG85127,Oregon,15172.35,No,Basic,0,Bachelor,2,14-01-2024,Employed,1,M,115233.78,Urban,2,Married,1,127.88,41,108,0,2,Special Auto,2,Special L3,8,3,Web,0,495.47,Four-Door Car,1,Medsize,1
AG85615,Oregon,45305.98,No,Extended,1,College,1,17-01-2024,Unemployed,0,M,0,Suburban,1,Single,0,162.63,12,101,0,2,Special Auto,2,Special L1,6,1,Web,0,1175.44,Four-Door Car,1,Medsize,1
AH17051,California,27585.48,No,Extended,1,Bachelor,2,01-09-2024,Employed,1,M,55722.32,Suburban,1,Married,1,176.53,46,89,0,2,Personal Auto,0,Personal L3,2,2,Branch,1,1039.85,Four-Door Car,1,Medsize,1
AH22694,California,10978.37,No,Basic,0,Doctor,4,24-01-2024,Employed,1,M,45630.92,Suburban,1,Married,1,137.61,3,47,1,3,Corporate Auto,1,Corporate L1,3,1,Call Center,3,657.53,Four-Door Car,1,Medsize,1
AH39293,California,4910.08,Yes,Basic,0,College,1,25-02-2024,Employed,1,M,135675.12,Suburban,1,Divorced,2,123.71,8,36,0,1,Personal Auto,0,Personal L1,0,1,Agent,2,594.48,Two-Door Car,0,Medsize,1
AH41065,Washington,35547.04,No,Extended,1,High School or Below,0,27-01-2024,Employed,1,M,110434.11,Suburban,1,Married,1,148.73,15,45,1,2,Personal Auto,0,Personal L1,0,2,Web,0,927.34,Four-Door Car,1,Medsize,1
AH41449,Nevada,14837.74,No,Basic,0,College,1,14-02-2024,Employed,1,M,46285.61,Rural,0,Married,1,189.04,43,69,0,3,Personal Auto,0,Personal L2,1,3,Branch,1,284.92,Sports Car,2,Medsize,1
AH53588,California,8700.48,Yes,Basic,0,College,1,01-01-2024,Retired,3,M,50294.37,Suburban,1,Married,1,123.71,9,58,1,5,Personal Auto,0,Personal L2,1,2,Agent,2,594.48,Two-Door Car,0,Medsize,1
AH55475,Arizona,62024.45,No,Extended,1,College,1,17-01-2024,Employed,1,M,83027.48,Suburban,1,Married,1,229.35,1,24,3,2,Personal Auto,0,Personal L2,1,1,Web,0,1098.88,SUV,4,Small,0
AH58807,Arizona,96501.36,No,Basic,0,College,1,01-09-2024,Employed,1,F,158846.42,Urban,2,Married,1,347.5,18,53,3,2,Personal Auto,0,Personal L2,1,1,Agent,2,1239.38,Luxury Car,3,Medsize,1
AH65907,California,5365.68,No,Basic,0,Bachelor,2,14-01-2024,Employed,1,F,97184.63,Suburban,1,Married,1,133.44,16,58,0,1,Personal Auto,0,Personal L3,2,2,Agent,2,639.51,Four-Door Car,1,Large,2
AH84063,Oregon,8856.05,No,Extended,1,College,1,18-02-2024,Employed,1,F,168213.63,Rural,0,Married,1,226.57,15,27,4,1,Corporate Auto,1,Corporate L3,5,3,Call Center,3,161.98,SUV,4,Medsize,1
AH89786,Oregon,4079.72,No,Basic,0,High School or Below,0,13-02-2024,Retired,3,M,31894.94,Suburban,1,Married,1,122.32,47,84,3,1,Personal Auto,0,Personal L1,0,2,Branch,1,878.20,Two-Door Car,0,Medsize,1
AH92481,California,8769.26,No,Basic,0,College,1,01-05-2024,Employed,1,F,99865.94,Suburban,1,Married,1,219.62,32,49,0,1,Corporate Auto,1,Corporate L3,5,1,Call Center,3,1053.84,SUV,4,Medsize,1
AH97088,Nevada,14643.27,No,Extended,1,High School or Below,0,23-01-2024,Employed,1,M,158408.57,Rural,0,Divorced,2,183.48,7,43,0,7,Personal Auto,0,Personal L2,1,4,Agent,2,262.18,Two-Door Car,0,Medsize,1
AH99727,Arizona,10552.14,No,Basic,0,Bachelor,2,01-05-2024,Disabled,4,F,21789.64,Suburban,1,Married,1,133.44,27,124,0,5,Personal Auto,0,Personal L3,2,2,Branch,1,639.51,Four-Door Car,1,Medsize,1
AI11191,Arizona,7934.30,No,Basic,0,High School or Below,0,24-02-2024,Employed,1,F,146091.78,Rural,0,Single,0,198.77,16,103,0,1,Personal Auto,0,Personal L2,1,1,Branch,1,310.07,SUV,4,Medsize,1
AI14767,California,76352.03,No,Basic,0,High School or Below,0,19-02-2024,Employed,1,F,70283.96,Suburban,1,Married,1,214.06,18,77,0,2,Personal Auto,0,Personal L3,2,4,Call Center,3,1026.82,SUV,4,Small,0
AI16519,Nevada,9152.84,No,Basic,0,High School or Below,0,18-01-2024,Unemployed,0,M,0,Suburban,1,Married,1,123.71,5,41,0,5,Personal Auto,0,Personal L3,2,2,Agent,2,788.87,Two-Door Car,0,Medsize,1
AI47152,Nevada,14998.45,No,Basic,0,College,1,21-01-2024,Employed,1,F,66492.04,Urban,2,Married,1,123.71,26,35,0,2,Personal Auto,0,Personal L2,1,2,Agent,2,557.42,Four-Door Car,1,Medsize,1
AI49188,Nevada,24183.26,No,Premium,2,Bachelor,2,19-02-2024,Employed,1,F,91510.65,Suburban,1,Married,1,202.94,24,51,0,2,Personal Auto,0,Personal L3,2,1,Agent,2,1062.99,Two-Door Car,0,Medsize,1
AI49712,Washington,4867.45,No,Basic,0,High School or Below,0,21-01-2024,Unemployed,0,F,0,Suburban,1,Single,0,134.83,42,134,0,1,Personal Auto,0,Personal L1,0,3,Call Center,3,648.52,Four-Door Car,1,Large,2
AI58313,Nevada,69329.29,No,Basic,0,College,1,30-01-2024,Employed,1,F,141535.36,Suburban,1,Divorced,2,218.23,34,119,1,2,Personal Auto,0,Personal L3,2,2,Call Center,3,1245.33,Sports Car,2,Medsize,1
AI58500,Arizona,5046.23,No,Basic,0,College,1,02-09-2024,Employed,1,F,49828.72,Suburban,1,Married,1,127.88,24,116,1,1,Personal Auto,0,Personal L2,1,3,Web,0,735.00,Two-Door Car,0,Small,0
AI61368,Nevada,33123.91,No,Extended,1,High School or Below,0,31-01-2024,Medical Leave,2,F,42240.71,Suburban,1,Single,0,177.92,26,65,0,2,Personal Auto,0,Personal L3,2,1,Web,0,855.68,Four-Door Car,1,Small,0
AI74959,California,7381.80,Yes,Basic,0,High School or Below,0,23-01-2024,Employed,1,M,48651.39,Suburban,1,Single,0,193.21,8,27,0,1,Personal Auto,0,Personal L3,2,2,Web,0,1266.58,SUV,4,Medsize,1
AI85843,Arizona,12678.86,No,Extended,1,Master,3,01-06-2024,Employed,1,F,62465.21,Urban,2,Married,1,161.24,1,36,2,9,Personal Auto,0,Personal L3,2,1,Branch,1,416.32,Four-Door Car,1,Medsize,1
AJ32539,Oregon,5309.20,No,Basic,0,Bachelor,2,27-02-2024,Employed,1,M,48526.29,Suburban,1,Married,1,134.83,16,62,0,1,Personal Auto,0,Personal L3,2,2,Web,0,648.52,Four-Door Car,1,Medsize,1
AJ58038,California,4496.51,Yes,Basic,0,Bachelor,2,01-10-2024,Unemployed,0,F,0,Suburban,1,Married,1,123.71,8,96,2,1,Corporate Auto,1,Corporate L1,3,2,Call Center,3,812.83,Four-Door Car,1,Large,2
AJ69060,California,26760.60,No,Extended,1,College,1,01-02-2024,Unemployed,0,M,0,Rural,0,Married,1,186.26,3,41,0,2,Personal Auto,0,Personal L1,0,4,Branch,1,383.03,Two-Door Car,0,Medsize,1
AJ69778,Oregon,12224.33,No,Extended,1,High School or Below,0,16-02-2024,Employed,1,F,144743.48,Rural,0,Divorced,2,157.07,4,50,3,8,Personal Auto,0,Personal L3,2,2,Web,0,184.59,Four-Door Car,1,Medsize,1
AJ89107,Arizona,13791.01,No,Extended,1,High School or Below,0,02-02-2024,Employed,1,M,50800.33,Suburban,1,Married,1,175.14,32,36,0,8,Personal Auto,0,Personal L3,2,4,Branch,1,1060.85,Four-Door Car,1,Large,2
AJ89108,California,20658.64,Yes,Premium,2,Bachelor,2,24-01-2024,Employed,1,F,96908.02,Suburban,1,Single,0,530.98,22,58,0,1,Personal Auto,0,Personal L3,2,2,Agent,2,2549.04,Luxury Car,3,Medsize,1
AK11669,Arizona,19010.70,No,Extended,1,Doctor,4,17-01-2024,Employed,1,F,111148.57,Suburban,1,Divorced,2,159.85,8,101,0,2,Corporate Auto,1,Corporate L3,5,3,Branch,1,765.61,Two-Door Car,0,Medsize,1
AK11719,California,4263.98,No,Basic,0,Master,3,24-01-2024,Unemployed,0,M,0,Urban,2,Single,0,119.54,47,80,0,1,Corporate Auto,1,Corporate L3,5,3,Agent,2,536.92,Four-Door Car,1,Medsize,1
AK17025,Washington,10887.13,No,Extended,1,Bachelor,2,20-01-2024,Unemployed,0,M,0,Suburban,1,Single,0,155.68,23,38,0,4,Personal Auto,0,Personal L2,1,1,Branch,1,1121.40,Four-Door Car,1,Medsize,1
AK44985,California,7231.04,No,Basic,0,College,1,23-02-2024,Unemployed,0,F,0,Suburban,1,Single,0,207.11,18,4,0,1,Personal Auto,0,Personal L2,1,1,Agent,2,1486.19,SUV,4,Large,2
AK46006,Oregon,68104.09,No,Extended,1,Bachelor,2,17-01-2024,Medical Leave,2,M,33864.57,Suburban,1,Married,1,454.53,7,68,0,2,Personal Auto,0,Personal L1,0,1,Call Center,3,2533.98,Luxury SUV,5,Medsize,1
AK54675,California,10388.23,No,Extended,1,Bachelor,2,02-04-2024,Employed,1,F,159245.35,Suburban,1,Divorced,2,258.54,38,54,0,1,Corporate Auto,1,Corporate L2,4,4,Call Center,3,1297.97,SUV,4,Large,2
